""	"pathway"	"pathway_members"	"pval"	"fdr"	"n"	"N"	"set_enrichment_score"
"D239"	"Xanthinuria Type I"	"HMDB0000133;HMDB0000292;HMDB0000148;HMDB0000641;HMDB0000123;HMDB0000191;HMDB0000134;HMDB0000299;HMDB0000195;HMDB0000157;HMDB0000289;HMDB0000071;HMDB0000050;HMDB0000034"	0.0386711910413825	0.680543258087612	14	74	0.365079365079365
"D240"	"Xanthinuria Type II"	"HMDB0000133;HMDB0000292;HMDB0000148;HMDB0000641;HMDB0000123;HMDB0000191;HMDB0000134;HMDB0000299;HMDB0000195;HMDB0000157;HMDB0000289;HMDB0000071;HMDB0000050;HMDB0000034"	0.0386711910413825	0.680543258087612	14	74	0.365079365079365
"D259"	"Adenine Phosphoribosyltransferase Deficiency (APRT)"	"HMDB0000133;HMDB0000292;HMDB0000148;HMDB0000641;HMDB0000123;HMDB0000191;HMDB0000134;HMDB0000299;HMDB0000195;HMDB0000157;HMDB0000289;HMDB0000071;HMDB0000050;HMDB0000034"	0.0386711910413825	0.680543258087612	14	74	0.365079365079365
"D260"	"Mitochondrial DNA Depletion Syndrome"	"HMDB0000133;HMDB0000292;HMDB0000148;HMDB0000641;HMDB0000123;HMDB0000191;HMDB0000134;HMDB0000299;HMDB0000195;HMDB0000157;HMDB0000289;HMDB0000071;HMDB0000050;HMDB0000034"	0.0386711910413825	0.680543258087612	14	74	0.365079365079365
"D261"	"Myoadenylate Deaminase Deficiency"	"HMDB0000133;HMDB0000292;HMDB0000148;HMDB0000641;HMDB0000123;HMDB0000191;HMDB0000134;HMDB0000299;HMDB0000195;HMDB0000157;HMDB0000289;HMDB0000071;HMDB0000050;HMDB0000034"	0.0386711910413825	0.680543258087612	14	74	0.365079365079365
"D7"	"Ammonia Recycling"	"HMDB0000187;HMDB0000243;HMDB0000168;HMDB0000191;HMDB0000641;HMDB0000148;HMDB0000177;HMDB0000208;HMDB0000123"	0.0502884543414983	0.680543258087612	9	31	0.433691756272401
"D37"	"Alanine Metabolism"	"HMDB0000161;HMDB0000208;HMDB0000148;HMDB0000243;HMDB0000123"	0.0509933205698165	0.680543258087612	5	17	0.564516129032258
"D176"	"Lactic Acidemia"	"HMDB0000161;HMDB0000208;HMDB0000148;HMDB0000243;HMDB0000123"	0.0509933205698165	0.680543258087612	5	17	0.564516129032258
"D195"	"Pyruvate Carboxylase Deficiency"	"HMDB0000161;HMDB0000208;HMDB0000148;HMDB0000243;HMDB0000123"	0.0509933205698165	0.680543258087612	5	17	0.564516129032258
"D197"	"Primary Hyperoxaluria Type I"	"HMDB0000161;HMDB0000208;HMDB0000148;HMDB0000243;HMDB0000123"	0.0509933205698165	0.680543258087612	5	17	0.564516129032258
